customer_id,total_views,total_add_to_cart,total_purchase,view_cart_conversion,cart_purchase_conversion
182,7,6,4,85.71,66.67
183,7,6,1,85.71,16.67
184,7,4,1,57.14,25.00
185,7,1,0,14.29,0.00
186,8,6,0,75.00,0.00
187,5,6,0,120.00,0.00
188,6,4,0,66.67,0.00
189,4,1,3,25.00,300.00
190,4,5,1,125.00,20.00
191,5,9,1,180.00,11.11
192,6,2,1,33.33,50.00
193,9,5,0,55.56,0.00
194,11,6,2,54.55,33.33
195,4,5,1,125.00,20.00
196,10,5,2,50.00,40.00
197,6,3,0,50.00,0.00
198,5,1,3,20.00,300.00
199,7,6,1,85.71,16.67
200,10,3,1,30.00,33.33
201,8,1,0,12.50,0.00
202,8,4,0,50.00,0.00
203,2,3,2,150.00,66.67
204,7,3,2,42.86,66.67
205,3,4,1,133.33,25.00
206,8,8,1,100.00,12.50
207,6,2,1,33.33,50.00
208,5,3,1,60.00,33.33
209,10,5,1,50.00,20.00
210,7,2,1,28.57,50.00
211,6,1,0,16.67,0.00
212,8,3,0,37.50,0.00
213,8,4,1,50.00,25.00
214,8,2,3,25.00,150.00
215,9,3,2,33.33,66.67
216,2,6,0,300.00,0.00
217,5,7,2,140.00,28.57
218,10,3,2,30.00,66.67
219,4,1,0,25.00,0.00
220,7,2,1,28.57,50.00
221,6,1,1,16.67,100.00
222,8,2,3,25.00,150.00
223,4,1,2,25.00,200.00
224,6,3,1,50.00,33.33
225,5,2,1,40.00,50.00
226,7,3,1,42.86,33.33
227,5,1,2,20.00,200.00
228,6,4,0,66.67,0.00
229,7,6,3,85.71,50.00
230,8,2,0,25.00,0.00
231,4,5,0,125.00,0.00
232,9,5,1,55.56,20.00
233,6,3,0,50.00,0.00
234,10,5,1,50.00,20.00
235,4,3,1,75.00,33.33
236,8,5,0,62.50,0.00
237,12,0,2,0.00,0.00
238,7,4,2,57.14,50.00
239,7,4,1,57.14,25.00
240,10,3,1,30.00,33.33
241,5,1,1,20.00,100.00
242,7,3,2,42.86,66.67
243,6,3,2,50.00,66.67
244,6,6,0,100.00,0.00
245,8,3,0,37.50,0.00
246,7,1,1,14.29,100.00
247,9,3,2,33.33,66.67
248,6,4,0,66.67,0.00
249,6,3,1,50.00,33.33
250,6,6,1,100.00,16.67
251,7,1,3,14.29,300.00
252,7,0,3,0.00,0.00
253,9,6,0,66.67,0.00
254,8,1,0,12.50,0.00
255,6,5,1,83.33,20.00
256,7,4,1,57.14,25.00
257,6,4,2,66.67,50.00
258,8,3,1,37.50,33.33
259,5,7,1,140.00,14.29
260,12,6,0,50.00,0.00
261,5,4,1,80.00,25.00
262,7,5,1,71.43,20.00
263,11,4,1,36.36,25.00
264,3,1,3,33.33,300.00
265,4,1,2,25.00,200.00
266,7,7,3,100.00,42.86
267,6,1,0,16.67,0.00
268,2,9,2,450.00,22.22
269,5,5,0,100.00,0.00
270,5,7,2,140.00,28.57
271,9,10,1,111.11,10.00
272,10,2,1,20.00,50.00
273,7,5,2,71.43,40.00
274,8,4,1,50.00,25.00
275,12,6,1,50.00,16.67
276,8,8,0,100.00,0.00
277,5,3,1,60.00,33.33
278,7,4,1,57.14,25.00
279,6,2,2,33.33,100.00
280,9,4,0,44.44,0.00
281,11,7,3,63.64,42.86
282,5,2,0,40.00,0.00
283,5,4,1,80.00,25.00
284,2,4,2,200.00,50.00
285,5,4,2,80.00,50.00
286,12,2,3,16.67,150.00
287,3,1,1,33.33,100.00
288,11,5,2,45.45,40.00
289,7,1,1,14.29,100.00
290,8,3,2,37.50,66.67
291,8,2,3,25.00,150.00
292,11,3,0,27.27,0.00
293,8,1,0,12.50,0.00
294,10,2,2,20.00,100.00
295,7,5,1,71.43,20.00
296,7,3,1,42.86,33.33
297,11,4,3,36.36,75.00
298,6,1,1,16.67,100.00
299,4,4,2,100.00,50.00
300,5,2,1,40.00,50.00
301,7,6,2,85.71,33.33
302,3,1,1,33.33,100.00
303,10,2,3,20.00,150.00
304,5,7,2,140.00,28.57
305,9,3,3,33.33,100.00
306,7,7,2,100.00,28.57
307,7,4,3,57.14,75.00
308,7,6,0,85.71,0.00
309,4,2,2,50.00,100.00
310,5,2,2,40.00,100.00
311,7,3,3,42.86,100.00
312,3,5,3,166.67,60.00
313,8,4,2,50.00,50.00
314,8,2,1,25.00,50.00
315,3,4,2,133.33,50.00
316,4,3,1,75.00,33.33
317,8,4,0,50.00,0.00
318,7,3,2,42.86,66.67
319,4,4,1,100.00,25.00
320,9,2,0,22.22,0.00
321,12,3,0,25.00,0.00
322,5,1,0,20.00,0.00
323,10,4,0,40.00,0.00
324,3,2,1,66.67,50.00
325,5,1,3,20.00,300.00
326,6,8,3,133.33,37.50
327,8,1,1,12.50,100.00
328,14,4,1,28.57,25.00
329,5,6,1,120.00,16.67
330,5,4,0,80.00,0.00
331,10,6,0,60.00,0.00
332,9,3,0,33.33,0.00
333,6,9,1,150.00,11.11
334,8,3,0,37.50,0.00
335,11,2,3,18.18,150.00
336,5,5,1,100.00,20.00
337,4,5,0,125.00,0.00
338,7,3,1,42.86,33.33
339,5,1,3,20.00,300.00
340,7,6,1,85.71,16.67
341,5,4,1,80.00,25.00
342,13,4,1,30.77,25.00
343,11,1,0,9.09,0.00
344,8,2,1,25.00,50.00
345,8,9,1,112.50,11.11
346,6,3,0,50.00,0.00
347,6,3,3,50.00,100.00
348,5,6,2,120.00,33.33
349,3,3,0,100.00,0.00
350,6,6,2,100.00,33.33
351,5,0,1,0.00,0.00
352,11,6,0,54.55,0.00
353,10,2,1,20.00,50.00
354,6,6,0,100.00,0.00
355,7,1,2,14.29,200.00
356,11,2,2,18.18,100.00
357,7,4,1,57.14,25.00
358,11,5,2,45.45,40.00
359,8,4,2,50.00,50.00
360,7,3,0,42.86,0.00
361,8,2,2,25.00,100.00
362,6,1,0,16.67,0.00
363,7,2,1,28.57,50.00
364,11,4,3,36.36,75.00
365,13,2,2,15.38,100.00
366,12,3,2,25.00,66.67
367,7,2,0,28.57,0.00
368,2,3,1,150.00,33.33
369,6,6,1,100.00,16.67
370,7,3,0,42.86,0.00
371,6,4,0,66.67,0.00
372,10,2,1,20.00,50.00
373,7,4,2,57.14,50.00
374,13,4,0,30.77,0.00
375,5,4,0,80.00,0.00
376,4,2,3,50.00,150.00
377,9,6,1,66.67,16.67
378,6,4,0,66.67,0.00
379,9,3,1,33.33,33.33
380,6,7,1,116.67,14.29
381,9,3,0,33.33,0.00
382,7,6,2,85.71,33.33
383,7,4,0,57.14,0.00
384,10,6,2,60.00,33.33
385,6,5,0,83.33,0.00
386,10,3,1,30.00,33.33
387,12,4,0,33.33,0.00
388,9,4,0,44.44,0.00
389,6,4,0,66.67,0.00
390,9,3,1,33.33,33.33
391,6,1,1,16.67,100.00
392,8,7,1,87.50,14.29
393,17,1,0,5.88,0.00
394,10,3,2,30.00,66.67
395,5,4,2,80.00,50.00
396,6,0,1,0.00,0.00
397,7,1,1,14.29,100.00
398,9,10,1,111.11,10.00
399,6,3,0,50.00,0.00
400,6,2,2,33.33,100.00
401,5,2,0,40.00,0.00
402,4,3,1,75.00,33.33
403,5,6,3,120.00,50.00
404,5,2,1,40.00,50.00
405,5,4,4,80.00,100.00
406,6,3,1,50.00,33.33
407,8,3,3,37.50,100.00
408,8,7,2,87.50,28.57
409,14,9,0,64.29,0.00
410,11,5,1,45.45,20.00
411,7,4,0,57.14,0.00
412,15,1,2,6.67,200.00
413,5,7,0,140.00,0.00
414,13,4,2,30.77,50.00
415,2,6,2,300.00,33.33
416,11,2,1,18.18,50.00
417,9,2,0,22.22,0.00
418,7,6,0,85.71,0.00
419,10,2,2,20.00,100.00
420,5,3,1,60.00,33.33
421,7,6,0,85.71,0.00
422,8,4,0,50.00,0.00
423,4,2,2,50.00,100.00
424,5,2,2,40.00,100.00
425,6,4,1,66.67,25.00
426,9,4,1,44.44,25.00
427,7,4,1,57.14,25.00
428,9,4,1,44.44,25.00
429,6,3,1,50.00,33.33
430,10,5,0,50.00,0.00
431,8,4,2,50.00,50.00
432,10,3,2,30.00,66.67
433,6,4,3,66.67,75.00
434,7,1,2,14.29,200.00
435,5,2,0,40.00,0.00
436,8,3,0,37.50,0.00
437,5,4,0,80.00,0.00
438,8,6,0,75.00,0.00
439,5,2,1,40.00,50.00
440,7,5,3,71.43,60.00
441,6,5,1,83.33,20.00
442,9,2,3,22.22,150.00
443,2,4,2,200.00,50.00
444,4,4,3,100.00,75.00
445,13,5,1,38.46,20.00
446,10,4,0,40.00,0.00
447,9,3,2,33.33,66.67
448,11,3,5,27.27,166.67
449,8,4,2,50.00,50.00
450,14,3,1,21.43,33.33
451,4,6,0,150.00,0.00
452,3,4,0,133.33,0.00
453,10,4,1,40.00,25.00
454,8,3,1,37.50,33.33
455,4,0,2,0.00,0.00
456,10,3,2,30.00,66.67
457,6,2,2,33.33,100.00
458,8,0,1,0.00,0.00
459,10,3,0,30.00,0.00
460,11,4,1,36.36,25.00
461,9,4,4,44.44,100.00
462,3,4,0,133.33,0.00
463,3,2,3,66.67,150.00
464,12,6,1,50.00,16.67
465,4,2,2,50.00,100.00
466,7,2,1,28.57,50.00
467,10,4,3,40.00,75.00
468,11,4,0,36.36,0.00
469,11,6,0,54.55,0.00
470,6,4,2,66.67,50.00
471,7,5,1,71.43,20.00
472,10,3,0,30.00,0.00
473,4,0,0,0.00,0.00
474,9,4,0,44.44,0.00
475,9,4,1,44.44,25.00
476,11,3,0,27.27,0.00
477,3,3,1,100.00,33.33
478,11,4,1,36.36,25.00
479,2,3,1,150.00,33.33
480,5,2,3,40.00,150.00
481,8,3,0,37.50,0.00
482,7,7,2,100.00,28.57
483,5,4,1,80.00,25.00
484,4,5,3,125.00,60.00
485,11,4,0,36.36,0.00
486,9,5,2,55.56,40.00
487,5,4,0,80.00,0.00
488,10,2,1,20.00,50.00
489,10,2,2,20.00,100.00
490,3,3,1,100.00,33.33
491,10,6,1,60.00,16.67
492,8,1,2,12.50,200.00
493,8,1,0,12.50,0.00
494,7,7,1,100.00,14.29
495,8,1,1,12.50,100.00
496,6,5,1,83.33,20.00
497,8,2,1,25.00,50.00
498,10,8,3,80.00,37.50
499,9,3,3,33.33,100.00
500,5,4,1,80.00,25.00
501,6,3,0,50.00,0.00
502,4,4,3,100.00,75.00
503,11,4,1,36.36,25.00
504,8,4,4,50.00,100.00
505,6,0,1,0.00,0.00
506,9,4,0,44.44,0.00
507,2,4,1,200.00,25.00
508,7,3,0,42.86,0.00
509,8,5,1,62.50,20.00
510,13,6,1,46.15,16.67
511,10,2,0,20.00,0.00
512,2,2,1,100.00,50.00
513,7,6,0,85.71,0.00
514,3,4,0,133.33,0.00
515,7,2,0,28.57,0.00
516,8,6,2,75.00,33.33
517,8,3,2,37.50,66.67
518,10,5,2,50.00,40.00
519,2,6,2,300.00,33.33
520,5,4,1,80.00,25.00
521,4,6,2,150.00,33.33
522,4,5,4,125.00,80.00
523,5,3,0,60.00,0.00
524,12,2,4,16.67,200.00
525,8,2,1,25.00,50.00
526,3,5,0,166.67,0.00
527,11,6,1,54.55,16.67
528,9,2,1,22.22,50.00
529,8,7,3,87.50,42.86
530,9,2,3,22.22,150.00
531,5,3,1,60.00,33.33
532,6,3,0,50.00,0.00
533,8,4,1,50.00,25.00
534,7,2,2,28.57,100.00
535,9,1,1,11.11,100.00
536,10,4,1,40.00,25.00
537,6,3,1,50.00,33.33
538,12,5,1,41.67,20.00
539,7,6,1,85.71,16.67
540,10,6,0,60.00,0.00
541,8,5,2,62.50,40.00
542,6,3,0,50.00,0.00
543,6,4,0,66.67,0.00
544,10,2,2,20.00,100.00
545,5,3,0,60.00,0.00
546,2,4,2,200.00,50.00
547,2,3,2,150.00,66.67
548,16,2,0,12.50,0.00
549,9,2,1,22.22,50.00
550,5,4,0,80.00,0.00
551,10,4,4,40.00,100.00
552,10,3,4,30.00,133.33
553,9,2,2,22.22,100.00
554,9,4,3,44.44,75.00
555,7,3,0,42.86,0.00
556,5,0,2,0.00,0.00
557,7,2,2,28.57,100.00
558,9,3,0,33.33,0.00
559,5,6,2,120.00,33.33
560,4,4,1,100.00,25.00
561,18,3,0,16.67,0.00
562,5,5,1,100.00,20.00
563,9,4,1,44.44,25.00
564,6,7,0,116.67,0.00
565,10,1,2,10.00,200.00
566,10,1,1,10.00,100.00
567,4,0,3,0.00,0.00
568,12,1,2,8.33,200.00
569,9,5,2,55.56,40.00
570,8,3,3,37.50,100.00
571,4,3,0,75.00,0.00
572,9,7,1,77.78,14.29
573,8,3,4,37.50,133.33
574,6,4,1,66.67,25.00
575,5,7,1,140.00,14.29
576,7,3,3,42.86,100.00
577,5,6,0,120.00,0.00
578,8,1,1,12.50,100.00
579,13,5,2,38.46,40.00
580,6,2,0,33.33,0.00
581,10,3,2,30.00,66.67
582,6,2,1,33.33,50.00
583,5,8,0,160.00,0.00
584,7,5,0,71.43,0.00
585,6,10,1,166.67,10.00
586,15,2,0,13.33,0.00
587,6,4,4,66.67,100.00
588,4,3,2,75.00,66.67
589,2,3,2,150.00,66.67
590,5,2,3,40.00,150.00
591,7,5,0,71.43,0.00
592,2,2,1,100.00,50.00
593,4,3,1,75.00,33.33
594,10,3,0,30.00,0.00
595,12,5,3,41.67,60.00
596,9,3,3,33.33,100.00
597,8,8,0,100.00,0.00
598,10,2,1,20.00,50.00
599,6,7,0,116.67,0.00
600,3,8,0,266.67,0.00
601,9,4,1,44.44,25.00
602,9,3,1,33.33,33.33
603,12,6,1,50.00,16.67
604,6,4,1,66.67,25.00
605,4,3,1,75.00,33.33
606,4,1,3,25.00,300.00
607,9,8,0,88.89,0.00
608,16,3,1,18.75,33.33
609,6,6,2,100.00,33.33
610,6,9,1,150.00,11.11
611,8,6,4,75.00,66.67
612,8,7,2,87.50,28.57
613,4,3,1,75.00,33.33
614,7,7,2,100.00,28.57
615,10,2,0,20.00,0.00
616,13,3,2,23.08,66.67
617,6,4,3,66.67,75.00
618,7,2,1,28.57,50.00
619,9,3,1,33.33,33.33
620,5,6,0,120.00,0.00
621,4,3,0,75.00,0.00
622,7,2,1,28.57,50.00
623,5,5,0,100.00,0.00
624,5,4,1,80.00,25.00
625,7,1,1,14.29,100.00
626,11,2,1,18.18,50.00
627,6,1,0,16.67,0.00
628,11,2,2,18.18,100.00
629,7,3,2,42.86,66.67
630,5,4,0,80.00,0.00
631,7,1,0,14.29,0.00
632,7,2,5,28.57,250.00
633,6,2,1,33.33,50.00
634,6,3,1,50.00,33.33
635,6,4,0,66.67,0.00
636,6,4,1,66.67,25.00
637,10,6,1,60.00,16.67
638,6,4,2,66.67,50.00
639,10,0,3,0.00,0.00
640,7,3,2,42.86,66.67
641,7,3,1,42.86,33.33
642,5,3,0,60.00,0.00
643,9,4,2,44.44,50.00
644,8,5,2,62.50,40.00
645,8,3,0,37.50,0.00
646,10,4,1,40.00,25.00
647,9,4,0,44.44,0.00
648,2,3,0,150.00,0.00
649,3,4,3,133.33,75.00
650,12,4,1,33.33,25.00
651,4,2,1,50.00,50.00
652,2,4,1,200.00,25.00
653,6,2,0,33.33,0.00
654,6,9,0,150.00,0.00
655,5,4,0,80.00,0.00
656,5,2,3,40.00,150.00
657,5,3,1,60.00,33.33
658,6,4,2,66.67,50.00
659,16,2,0,12.50,0.00
660,9,3,2,33.33,66.67
661,3,4,2,133.33,50.00
662,11,6,0,54.55,0.00
663,12,6,2,50.00,33.33
664,8,3,1,37.50,33.33
665,16,3,0,18.75,0.00
666,8,4,1,50.00,25.00
667,5,6,0,120.00,0.00
668,5,4,3,80.00,75.00
669,7,2,1,28.57,50.00
670,9,3,0,33.33,0.00
671,5,0,0,0.00,0.00
672,9,7,2,77.78,28.57
673,4,6,1,150.00,16.67
674,5,4,2,80.00,50.00
675,6,5,1,83.33,20.00
676,9,8,1,88.89,12.50
677,11,4,0,36.36,0.00
678,5,3,0,60.00,0.00
679,9,5,2,55.56,40.00
680,8,3,1,37.50,33.33
681,8,4,2,50.00,50.00
682,7,4,0,57.14,0.00
683,10,4,0,40.00,0.00
684,8,6,1,75.00,16.67
685,9,4,1,44.44,25.00
686,11,1,0,9.09,0.00
687,12,3,2,25.00,66.67
688,4,5,3,125.00,60.00
689,7,4,1,57.14,25.00
690,6,1,2,16.67,200.00
691,9,6,2,66.67,33.33
692,7,3,0,42.86,0.00
693,8,4,1,50.00,25.00
694,5,3,0,60.00,0.00
695,5,8,2,160.00,25.00
696,3,3,0,100.00,0.00
697,4,6,0,150.00,0.00
698,4,1,1,25.00,100.00
699,12,2,1,16.67,50.00
700,4,2,1,50.00,50.00
701,7,2,0,28.57,0.00
702,6,3,0,50.00,0.00
703,7,2,2,28.57,100.00
704,7,5,0,71.43,0.00
705,10,1,3,10.00,300.00
706,12,3,0,25.00,0.00
707,3,7,0,233.33,0.00
708,8,2,2,25.00,100.00
709,6,4,0,66.67,0.00
710,10,0,2,0.00,0.00
711,9,6,0,66.67,0.00
712,8,0,1,0.00,0.00
713,3,3,1,100.00,33.33
714,8,8,1,100.00,12.50
715,6,6,3,100.00,50.00
716,11,1,1,9.09,100.00
717,10,2,0,20.00,0.00
718,12,5,2,41.67,40.00
719,8,6,2,75.00,33.33
720,10,8,1,80.00,12.50
721,6,4,0,66.67,0.00
722,6,3,2,50.00,66.67
723,5,3,0,60.00,0.00
724,5,2,0,40.00,0.00
725,7,5,0,71.43,0.00
726,7,2,1,28.57,50.00
727,5,3,0,60.00,0.00
728,5,8,0,160.00,0.00
729,10,1,0,10.00,0.00
730,7,1,1,14.29,100.00
731,14,6,0,42.86,0.00
732,7,2,2,28.57,100.00
733,8,5,1,62.50,20.00
734,9,3,0,33.33,0.00
735,9,4,2,44.44,50.00
736,10,6,3,60.00,50.00
737,3,5,0,166.67,0.00
738,10,5,1,50.00,20.00
739,11,1,2,9.09,200.00
740,10,4,2,40.00,50.00
741,12,1,0,8.33,0.00
742,8,5,2,62.50,40.00
743,9,8,0,88.89,0.00
744,5,0,0,0.00,0.00
745,2,3,0,150.00,0.00
746,6,5,2,83.33,40.00
747,10,5,1,50.00,20.00
748,6,4,0,66.67,0.00
749,7,10,1,142.86,10.00
750,11,1,2,9.09,200.00
751,6,3,0,50.00,0.00
752,7,5,1,71.43,20.00
753,9,2,1,22.22,50.00
754,5,1,0,20.00,0.00
755,7,0,1,0.00,0.00
756,11,2,1,18.18,50.00
757,6,5,3,83.33,60.00
758,7,3,3,42.86,100.00
759,5,3,0,60.00,0.00
760,3,1,0,33.33,0.00
761,9,2,3,22.22,150.00
762,9,3,0,33.33,0.00
763,9,2,2,22.22,100.00
764,7,3,3,42.86,100.00
765,8,5,3,62.50,60.00
766,10,5,7,50.00,140.00
767,7,2,0,28.57,0.00
768,7,3,1,42.86,33.33
769,5,3,2,60.00,66.67
770,2,7,1,350.00,14.29
771,4,3,0,75.00,0.00
772,7,5,2,71.43,40.00
773,6,4,0,66.67,0.00
774,7,4,2,57.14,50.00
775,8,5,1,62.50,20.00
776,6,5,2,83.33,40.00
777,9,4,1,44.44,25.00
778,6,2,1,33.33,50.00
779,10,6,1,60.00,16.67
780,6,2,0,33.33,0.00
781,7,4,3,57.14,75.00
782,6,4,2,66.67,50.00
783,7,6,0,85.71,0.00
784,11,6,2,54.55,33.33
785,4,4,3,100.00,75.00
786,7,4,2,57.14,50.00
787,8,4,3,50.00,75.00
788,8,5,1,62.50,20.00
789,6,2,1,33.33,50.00
790,6,4,1,66.67,25.00
791,6,8,2,133.33,25.00
792,5,3,1,60.00,33.33
793,8,0,0,0.00,0.00
794,10,6,0,60.00,0.00
795,8,2,1,25.00,50.00
796,11,2,0,18.18,0.00
797,4,4,0,100.00,0.00
798,4,2,0,50.00,0.00
799,5,5,2,100.00,40.00
800,5,3,3,60.00,100.00
801,2,5,3,250.00,60.00
802,6,2,0,33.33,0.00
803,9,2,2,22.22,100.00
804,4,5,4,125.00,80.00
805,11,8,2,72.73,25.00
806,6,6,2,100.00,33.33
807,10,1,0,10.00,0.00
808,7,6,0,85.71,0.00
809,3,4,0,133.33,0.00
810,6,1,3,16.67,300.00
811,9,3,0,33.33,0.00
812,8,5,0,62.50,0.00
813,6,3,2,50.00,66.67
814,8,5,0,62.50,0.00
815,7,7,2,100.00,28.57
816,9,3,2,33.33,66.67
817,7,5,1,71.43,20.00
818,3,2,3,66.67,150.00
819,7,2,0,28.57,0.00
820,12,3,2,25.00,66.67
821,4,2,1,50.00,50.00
822,6,2,1,33.33,50.00
823,3,3,2,100.00,66.67
824,4,2,1,50.00,50.00
825,7,3,1,42.86,33.33
826,3,4,1,133.33,25.00
827,3,4,0,133.33,0.00
828,13,3,0,23.08,0.00
829,11,2,0,18.18,0.00
830,8,7,1,87.50,14.29
831,7,4,4,57.14,100.00
832,9,6,0,66.67,0.00
833,10,5,1,50.00,20.00
834,7,5,0,71.43,0.00
835,8,5,0,62.50,0.00
836,6,6,2,100.00,33.33
837,14,3,2,21.43,66.67
838,6,5,3,83.33,60.00
839,6,6,3,100.00,50.00
840,7,3,1,42.86,33.33
841,7,5,3,71.43,60.00
842,7,3,3,42.86,100.00
843,3,4,1,133.33,25.00
844,10,4,0,40.00,0.00
845,6,4,2,66.67,50.00
846,9,3,3,33.33,100.00
847,8,4,0,50.00,0.00
848,3,3,0,100.00,0.00
849,11,4,1,36.36,25.00
850,7,2,0,28.57,0.00
851,11,4,0,36.36,0.00
852,10,6,0,60.00,0.00
853,8,4,1,50.00,25.00
854,5,6,2,120.00,33.33
855,6,4,2,66.67,50.00
856,7,5,0,71.43,0.00
857,11,1,1,9.09,100.00
858,7,5,2,71.43,40.00
859,3,3,2,100.00,66.67
860,8,1,5,12.50,500.00
861,7,1,1,14.29,100.00
862,7,8,2,114.29,25.00
863,7,2,1,28.57,50.00
864,8,10,1,125.00,10.00
865,10,3,0,30.00,0.00
866,8,3,1,37.50,33.33
867,5,4,1,80.00,25.00
868,8,3,0,37.50,0.00
869,11,4,0,36.36,0.00
